phase,iteration,route,url,http_code,ttfb,total,size_download,effective_url
"warm_same_url",2,"/conferences/hr-tomorrow/speakers","https://carlsonschool.ddev.site/conferences/hr-tomorrow/speakers",200,0.021785,0.027741,333187,https://carlsonschool.ddev.site/conferences/hr-tomorrow/speakers
"warm_same_url",2,"/node/129326","https://carlsonschool.ddev.site/node/129326",200,0.021962,0.026834,293497,https://carlsonschool.ddev.site/node/129326
"warm_same_url",2,"/em/msmk/i-fit","https://carlsonschool.ddev.site/em/msmk/i-fit",200,0.023360,0.028383,301496,https://carlsonschool.ddev.site/em/msmk/i-fit
"warm_same_url",2,"/alumni/events/1st-tuesday","https://carlsonschool.ddev.site/alumni/events/1st-tuesday",200,0.024173,0.030217,334300,https://carlsonschool.ddev.site/alumni/events/1st-tuesday
"warm_same_url",2,"/discovery/fall-2021","https://carlsonschool.ddev.site/discovery/fall-2021",200,0.027797,0.033008,313079,https://carlsonschool.ddev.site/discovery/fall-2021
"warm_same_url",2,"/node/118271","https://carlsonschool.ddev.site/node/118271",200,0.036689,0.042714,323286,https://carlsonschool.ddev.site/undergraduate/majors-minors/accounting/plan
"warm_same_url",2,"/give","https://carlsonschool.ddev.site/give",200,0.020437,0.025838,320362,https://carlsonschool.ddev.site/give
"warm_same_url",2,"/graduate/resources/find-degree","https://carlsonschool.ddev.site/graduate/resources/find-degree",200,0.020797,0.027115,349989,https://carlsonschool.ddev.site/graduate/resources/find-degree
"warm_same_url",2,"/conferences/convene/convene-conference-schedule/Payment_Reimbursement","https://carlsonschool.ddev.site/conferences/convene/convene-conference-schedule/Payment_Reimbursement",200,0.021540,0.027227,290415,https://carlsonschool.ddev.site/conferences/convene/convene-conference-schedule/Payment_Reimbursement
"warm_same_url",3,"/","https://carlsonschool.ddev.site/",200,0.022445,0.028602,331756,https://carlsonschool.ddev.site/
"warm_same_url",3,"/executive-education/courses","https://carlsonschool.ddev.site/executive-education/courses",200,0.025741,0.031782,340244,https://carlsonschool.ddev.site/executive-education/courses
"warm_same_url",3,"/graduate/mba/full-time","https://carlsonschool.ddev.site/graduate/mba/full-time",200,0.059169,0.080762,428277,https://carlsonschool.ddev.site/graduate/mba/full-time
"warm_same_url",3,"/graduate","https://carlsonschool.ddev.site/graduate",200,0.034109,0.042914,405550,https://carlsonschool.ddev.site/graduate
"warm_same_url",3,"/news","https://carlsonschool.ddev.site/news",200,0.204015,0.210061,311392,https://carlsonschool.ddev.site/news
"warm_same_url",3,"/faculty-research/directory-tenured-tenure-track","https://carlsonschool.ddev.site/faculty-research/directory-tenured-tenure-track",200,0.024033,0.029957,322568,https://carlsonschool.ddev.site/faculty-research/directory-tenured-tenure-track
"warm_same_url",3,"/alumni/events","https://carlsonschool.ddev.site/alumni/events",200,0.021461,0.027061,320894,https://carlsonschool.ddev.site/alumni/events
"warm_same_url",3,"/executive-education","https://carlsonschool.ddev.site/executive-education",200,0.020650,0.025752,320251,https://carlsonschool.ddev.site/executive-education
"warm_same_url",3,"/executive-education/courses/emerging-leaders-bootcamp","https://carlsonschool.ddev.site/executive-education/courses/emerging-leaders-bootcamp",200,0.022794,0.028797,362877,https://carlsonschool.ddev.site/executive-education/courses/emerging-leaders-bootcamp
"warm_same_url",3,"/graduate/resources/what-value-mba-or-masters-degree","https://carlsonschool.ddev.site/graduate/resources/what-value-mba-or-masters-degree",200,0.022856,0.028541,327655,https://carlsonschool.ddev.site/graduate/resources/what-value-mba-or-masters-degree
"warm_same_url",3,"/about","https://carlsonschool.ddev.site/about",200,0.023150,0.028324,325662,https://carlsonschool.ddev.site/about
"warm_same_url",3,"/faculty/bella-yeolim-yoon","https://carlsonschool.ddev.site/faculty/bella-yeolim-yoon",200,0.022041,0.027098,302156,https://carlsonschool.ddev.site/faculty/bella-yeolim-yoon
"warm_same_url",3,"/faculty-research/gary-s-holmes-center-entrepreneurship/blog/broshar","https://carlsonschool.ddev.site/faculty-research/gary-s-holmes-center-entrepreneurship/blog/broshar",200,0.021890,0.027277,304276,https://carlsonschool.ddev.site/faculty-research/gary-s-holmes-center-entrepreneurship/blog/broshar
"warm_same_url",3,"/person/richele-butler","https://carlsonschool.ddev.site/person/richele-butler",200,0.022612,0.027936,293573,https://carlsonschool.ddev.site/person/richele-butler
"warm_same_url",3,"/node/107586","https://carlsonschool.ddev.site/node/107586",200,0.023050,0.027925,289595,https://carlsonschool.ddev.site/node/107586
"warm_same_url",3,"/events/20260508-finance-seminar-alexandre-corhay-university-toronto","https://carlsonschool.ddev.site/events/20260508-finance-seminar-alexandre-corhay-university-toronto",200,0.022117,0.073020,300359,https://carlsonschool.ddev.site/events/20260508-finance-seminar-alexandre-corhay-university-toronto
"warm_same_url",3,"/education-abroad/programs/i-core-gold-block-prague","https://carlsonschool.ddev.site/education-abroad/programs/i-core-gold-block-prague",200,0.022459,0.028173,341424,https://carlsonschool.ddev.site/education-abroad/programs/i-core-gold-block-prague
"warm_same_url",3,"/faculty-research/institute-research-marketing/newsletter","https://carlsonschool.ddev.site/faculty-research/institute-research-marketing/newsletter",200,0.020465,0.025726,297023,https://carlsonschool.ddev.site/faculty-research/institute-research-marketing/newsletter
"warm_same_url",3,"/conferences/hr-tomorrow/speakers","https://carlsonschool.ddev.site/conferences/hr-tomorrow/speakers",200,0.020222,0.026419,333187,https://carlsonschool.ddev.site/conferences/hr-tomorrow/speakers
"warm_same_url",3,"/node/129326","https://carlsonschool.ddev.site/node/129326",200,0.020357,0.025301,293497,https://carlsonschool.ddev.site/node/129326
